genID,pop,name,geo_grp,lat,lon,PROVNAME,ECS_PROV,SECNAME,ECS_SEC,SUBSECNAME,ECS_SUBSEC,ECS_fac,ECS_fac2,MN_quad
T-AIT001-1_S172R1_001_gbstrim_trimmomatic,1,AIT001,8,46.52087,-93.58004,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-AIT002-1_S55R1_001_gbstrim_trimmomatic,2,AIT002,5,46.98621,-93.713982,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-AIT003-1_S182R1_001_gbstrim_trimmomatic,3,AIT003,5,46.73479,-93.27241,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-AIT005-1_S56R1_001_gbstrim_trimmomatic,4,AIT005,5,46.926489,-93.293532,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-AIT006-1_S8R1_001_gbstrim_trimmomatic,5,AIT006,5,46.70657,-93.477151,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-AIT007-1_S92R1_001_gbstrim_trimmomatic,6,AIT007,5,46.826034,-93.612192,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Tamarack Lowlands,212Nd,14,12,Northeast
T-AIT008-1_S151R1_001_gbstrim_trimmomatic,7,AIT008,5,46.986845,-93.665525,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-ANO003-1_S68R1_001_gbstrim_trimmomatic,8,ANO003,11,45.11867,-93.23818,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Anoka Sand Plain,222Mc,19,16,Southeast
T-BECK005-1_S87R1_001_gbstrim_trimmomatic,9,BECK005,4,46.682518,-95.687957,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Hardwood Hills,222Ma,17,15,Northwest
T-BECK006-1_S51R1_001_gbstrim_trimmomatic,10,BECK006,4,46.948607,-95.331194,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-BECK008-1_S129R1_001_gbstrim_trimmomatic,11,BECK008,4,46.920821,-95.259033,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-BECK009-1_S36R1_001_gbstrim_trimmomatic,12,BECK009,4,46.82674,-95.689803,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-BECK010-1_S81R1_001_gbstrim_trimmomatic,13,BECK010,4,47.013393,-95.34067,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-BECK011-1_S74R1_001_gbstrim_trimmomatic,14,BECK011,4,47.042974,-95.278405,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-BECK012-1_S140R1_001_gbstrim_trimmomatic,15,BECK012,4,46.828606,-96.131526,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Hardwood Hills,222Ma,17,15,Northwest
T-BECK014-1_S86R1_001_gbstrim_trimmomatic,16,BECK014,4,47.15002,-95.52724,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-BEL001-1_S17R1_001_gbstrim_trimmomatic,17,BEL001,3,47.929331,-94.44663,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-BEL003-1_S30R1_001_gbstrim_trimmomatic,18,BEL003,3,47.89989,-94.58678,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-BEL004-1_S18R1_001_gbstrim_trimmomatic,19,BEL004,3,47.880319,-94.906881,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-BEL005-1_S89R1_001_gbstrim_trimmomatic,20,BEL005,3,47.877896,-95.239344,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-BEL006-1_S62R1_001_gbstrim_trimmomatic,21,BEL006,3,48.14117,-95.254424,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-BEL009-1_S22R1_001_gbstrim_trimmomatic,22,BEL009,3,48.282277,-95.335652,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-BEL011-1_S95R1_001_gbstrim_trimmomatic,23,BEL011,3,47.559708,-94.835473,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-BEL012-1_S93R1_001_gbstrim_trimmomatic,24,BEL012,3,47.653827,-94.677716,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
